regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMPASTRAINHW,6710.109525187473,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2016,ADEMPASTRAEXIHW,2764.5931232656303,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2016,ADEMPASTRAEXOHW,2736.052639953108,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2016,ADEMPASTRAINHS,2654.0683704288786,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2016,ADEMPASTRAEXIHS,649.6021984331195,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2016,ADEMPASTRAEXOHS,642.8959816852972,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2016,ADEMPASTRAINHO,3146.9372353504323,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2016,ADEMPASTRAEXIHO,2020.0655077611768,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2016,ADEMPASTRAEXOHO,1999.211210819876,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2016,ADEMPASTRAINNH,1518.4543730921225,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2016,ADEMPASTRAEXINH,974.7182974403826,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2016,ADEMPASTRAEXONH,964.6557203948148,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2017,ADEMPASTRAINHW,6714.968853590487,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2017,ADEMPASTRAEXIHW,2795.5315226970283,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2017,ADEMPASTRAEXOHW,2766.671644510354,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2017,ADEMPASTRAINHS,2655.9903941704515,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2017,ADEMPASTRAEXIHS,656.8718585207125,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2017,ADEMPASTRAEXOHS,650.0905928947491,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2017,ADEMPASTRAINHO,3149.216184961141,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2017,ADEMPASTRAEXIHO,2042.6719423322363,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2017,ADEMPASTRAEXOHO,2021.5842661774805,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2017,ADEMPASTRAINNH,1519.5540076712825,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2017,ADEMPASTRAEXINH,985.6263127159474,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2017,ADEMPASTRAEXONH,975.4511259610791,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2018,ADEMPASTRAINHW,6721.367575537803,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2018,ADEMPASTRAEXIHW,2825.6985236761802,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2018,ADEMPASTRAEXOHW,2796.527214204812,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2018,ADEMPASTRAINHS,2658.5212985421003,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2018,ADEMPASTRAEXIHS,663.9602615089407,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2018,ADEMPASTRAEXOHS,657.105818226021,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2018,ADEMPASTRAINHO,3152.21708625479,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2018,ADEMPASTRAEXIHO,2064.714722384658,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2018,ADEMPASTRAEXOHO,2043.3994859459121,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2018,ADEMPASTRAINNH,1521.0019970500894,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2018,ADEMPASTRAEXINH,996.2623544487532,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2018,ADEMPASTRAEXONH,985.977365723739,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2019,ADEMPASTRAINHW,6729.70066914892,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2019,ADEMPASTRAEXIHW,2856.238614510998,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2019,ADEMPASTRAEXOHW,2826.7520221339832,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2019,ADEMPASTRAINHS,2661.8173103431104,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2019,ADEMPASTRAEXIHS,671.1363301968388,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2019,ADEMPASTRAEXOHS,664.2078042335736,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2019,ADEMPASTRAINHO,3156.12517783989,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2019,ADEMPASTRAEXIHO,2087.030116132884,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2019,ADEMPASTRAEXOHO,2065.4845050623253,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2019,ADEMPASTRAINNH,1522.887722221592,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2019,ADEMPASTRAEXINH,1007.0299372411988,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2019,ADEMPASTRAEXONH,996.6337885720982,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2020,ADEMPASTRAINHW,6738.880622285097,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2020,ADEMPASTRAEXIHW,2886.0013728988038,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2020,ADEMPASTRAEXOHW,2856.2075224656382,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2020,ADEMPASTRAINHS,2665.4482828584314,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2020,ADEMPASTRAEXIHS,678.1297474622751,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2020,ADEMPASTRAEXOHS,671.1290244342476,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2020,ADEMPASTRAINHO,3160.430433400112,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2020,ADEMPASTRAEXIHO,2108.777519441193,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2020,ADEMPASTRAEXOHO,2087.0073974304933,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2020,ADEMPASTRAINNH,1524.9650862246813,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2020,ADEMPASTRAEXINH,1017.5234543301162,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2020,ADEMPASTRAEXONH,1007.0189750546614,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2021,ADEMPASTRAINHW,6749.9868020575705,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2021,ADEMPASTRAEXIHW,2915.265503717855,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2021,ADEMPASTRAEXOHW,2885.1695428474363,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2021,ADEMPASTRAINHS,2669.841141177625,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2021,ADEMPASTRAEXIHS,685.0060011703921,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2021,ADEMPASTRAEXOHS,677.9342906243253,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2021,ADEMPASTRAINHO,3165.6390593602846,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2021,ADEMPASTRAEXIHO,2130.16057967696,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2021,ADEMPASTRAEXOHO,2108.1697080490044,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2021,ADEMPASTRAINNH,1527.4783428534379,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2021,ADEMPASTRAEXINH,1027.8411692690597,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2021,ADEMPASTRAEXONH,1017.2301742938587,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2022,ADEMPASTRAINHW,6753.053926389136,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2022,ADEMPASTRAEXIHW,2936.671876700293,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2022,ADEMPASTRAEXOHW,2906.3549255417392,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2022,ADEMPASTRAINHS,2671.054289434896,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2022,ADEMPASTRAEXIHS,690.0359011700872,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2022,ADEMPASTRAEXOHS,682.9122640762051,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2022,ADEMPASTRAINHO,3167.077493074104,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2022,ADEMPASTRAEXIHO,2145.802040745565,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2022,ADEMPASTRAEXOHO,2123.649693327608,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2022,ADEMPASTRAINNH,1528.1724132462682,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2022,ADEMPASTRAEXINH,1035.3884583266151,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2022,ADEMPASTRAEXONH,1024.6995483498938,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2023,ADEMPASTRAINHW,6757.588410361164,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2023,ADEMPASTRAEXIHW,2958.4175907610584,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2023,ADEMPASTRAEXOHW,2927.876146101437,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2023,ADEMPASTRAINHS,2672.847826550975,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2023,ADEMPASTRAEXIHS,695.1455368490203,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2023,ADEMPASTRAEXOHS,687.9691500500912,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2023,ADEMPASTRAINHO,3169.204095687834,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2023,ADEMPASTRAEXIHO,2161.6914555553294,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2023,ADEMPASTRAEXOHO,2139.37507257843,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2023,ADEMPASTRAINNH,1529.1985376323453,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2023,ADEMPASTRAEXINH,1043.0553895678017,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2023,ADEMPASTRAEXONH,1032.2873294545536,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2024,ADEMPASTRAINHW,6764.718547322495,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2024,ADEMPASTRAEXIHW,2980.4306365146736,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2024,ADEMPASTRAEXOHW,2949.661938535313,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2024,ADEMPASTRAINHS,2675.6680295468964,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2024,ADEMPASTRAEXIHS,700.3179880120565,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2024,ADEMPASTRAEXOHS,693.0882030277447,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2024,ADEMPASTRAINHO,3172.548019272469,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2024,ADEMPASTRAEXIHO,2177.776207439223,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2024,ADEMPASTRAEXOHO,2155.2937723265263,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2024,ADEMPASTRAINNH,1530.8120414967814,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2024,ADEMPASTRAEXINH,1050.816574495114,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2024,ADEMPASTRAEXONH,1039.9683912103806,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2025,ADEMPASTRAINHW,6773.9710262738945,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2025,ADEMPASTRAEXIHW,3002.3508424190345,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2025,ADEMPASTRAEXOHW,2971.355849559044,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2025,ADEMPASTRAINHS,2679.3276884005695,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2025,ADEMPASTRAEXIHS,705.4686244025427,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2025,ADEMPASTRAEXOHS,698.1856664392799,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2025,ADEMPASTRAINHO,3176.887288314526,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2025,ADEMPASTRAEXIHO,2193.7931220071496,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2025,ADEMPASTRAEXOHO,2171.145335082247,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2025,ADEMPASTRAINNH,1532.9058176226342,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2025,ADEMPASTRAEXINH,1058.5450266853602,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2025,ADEMPASTRAEXONH,1047.6170581479935,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2026,ADEMPASTRAINHW,6784.850459855394,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2026,ADEMPASTRAEXIHW,3024.128265560648,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2026,ADEMPASTRAEXOHW,2992.9084518485283,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2026,ADEMPASTRAINHS,2683.630861165254,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2026,ADEMPASTRAEXIHS,710.5857108301793,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2026,ADEMPASTRAEXOHS,703.2499262435094,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2026,ADEMPASTRAINHO,3181.98957382993,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2026,ADEMPASTRAEXIHO,2209.7057063820716,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2026,ADEMPASTRAEXOHO,2186.8936447054925,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2026,ADEMPASTRAINNH,1535.367763055355,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2026,ADEMPASTRAEXINH,1066.2231376625582,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2026,ADEMPASTRAEXONH,1055.2159035738264,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2027,ADEMPASTRAINHW,6796.690903652521,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2027,ADEMPASTRAEXIHW,3045.7313821891603,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2027,ADEMPASTRAEXOHW,3014.2885470912006,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2027,ADEMPASTRAINHS,2688.314144985859,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2027,ADEMPASTRAEXIHS,715.661840093755,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2027,ADEMPASTRAEXOHS,708.273651708016,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2027,ADEMPASTRAINHO,3187.542558222866,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2027,ADEMPASTRAEXIHO,2225.490926418303,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2027,ADEMPASTRAEXOHO,2202.515904845297,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2027,ADEMPASTRAINNH,1538.0471788824161,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2027,ADEMPASTRAEXINH,1073.8397930330514,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2027,ADEMPASTRAEXONH,1062.7539278344939,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2028,ADEMPASTRAINHW,6809.293465360055,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2028,ADEMPASTRAEXIHW,3067.144616054626,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2028,ADEMPASTRAEXOHW,3035.4807198396934,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2028,ADEMPASTRAINHS,2693.2988714331386,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2028,ADEMPASTRAEXIHS,720.6933522094106,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2028,ADEMPASTRAEXOHS,713.253220633057,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2028,ADEMPASTRAINHO,3193.452964088727,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2028,ADEMPASTRAEXIHO,2241.1374006778333,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2028,ADEMPASTRAEXOHO,2218.0008515607756,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2028,ADEMPASTRAINNH,1540.8990570619208,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2028,ADEMPASTRAEXINH,1081.3895010462816,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2028,ADEMPASTRAEXONH,1070.2256958739345,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2029,ADEMPASTRAINHW,6822.7845022577785,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2029,ADEMPASTRAEXIHW,3088.798417508083,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2029,ADEMPASTRAEXOHW,3056.9109766587394,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2029,ADEMPASTRAINHS,2698.635018955043,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2029,ADEMPASTRAEXIHS,725.7813909917628,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2029,ADEMPASTRAEXOHS,718.2887326675348,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2029,ADEMPASTRAINHO,3199.7800510308357,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2029,ADEMPASTRAEXIHO,2256.9596556997108,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2029,ADEMPASTRAEXOHO,2233.65976435279,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2029,ADEMPASTRAINNH,1543.951991428789,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2029,ADEMPASTRAEXINH,1089.024026470006,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2029,ADEMPASTRAEXONH,1077.781405705006,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2030,ADEMPASTRAINHW,6836.880123112445,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2030,ADEMPASTRAEXIHW,3111.089364569567,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2030,ADEMPASTRAEXOHW,3078.971801465605,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2030,ADEMPASTRAINHS,2704.2102992588143,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2030,ADEMPASTRAEXIHS,731.0191412033353,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2030,ADEMPASTRAEXOHS,723.4724105741267,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2030,ADEMPASTRAINHO,3206.3906784664127,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2030,ADEMPASTRAEXIHO,2273.24746778869,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2030,ADEMPASTRAEXOHO,2249.779427998799,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2030,ADEMPASTRAINNH,1547.141739233631,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2030,ADEMPASTRAEXINH,1096.883191634404,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2030,ADEMPASTRAEXONH,1085.5594361916326,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2031,ADEMPASTRAINHW,6851.48065884129,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2031,ADEMPASTRAEXIHW,3134.1962140419387,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2031,ADEMPASTRAEXOHW,3101.8401056539633,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2031,ADEMPASTRAINHS,2709.985289953644,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2031,ADEMPASTRAEXIHS,736.4486057020334,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2031,ADEMPASTRAEXOHS,728.8458235911015,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2031,ADEMPASTRAINHO,3213.2381031423733,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2031,ADEMPASTRAEXIHO,2290.1314530736677,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2031,ADEMPASTRAEXOHO,2266.4891102023503,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2031,ADEMPASTRAINNH,1550.4457460078472,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2031,ADEMPASTRAEXINH,1105.0300211940164,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2031,ADEMPASTRAEXONH,1093.6221613486334,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2032,ADEMPASTRAINHW,6867.395164758507,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2032,ADEMPASTRAEXIHW,3157.2826659599323,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2032,ADEMPASTRAEXOHW,3124.6882228636173,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2032,ADEMPASTRAINHS,2716.279998948682,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2032,ADEMPASTRAEXIHS,741.8732773449384,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
TO,2032,ADEMPASTRAEXOHS,734.2144932316875,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome School
TO,2032,ADEMPASTRAINHO,3220.7017594456133,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Other
TO,2032,ADEMPASTRAEXIHO,2307.000534033052,M pkm,Aggregated DemandPassengerTransportationExternal INHome Other
TO,2032,ADEMPASTRAEXOHO,2283.1840419462255,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Other
TO,2032,ADEMPASTRAINNH,1554.0470957346872,M pkm,Aggregated DemandPassengerTransportationIn BoundaryNon Home based
TO,2032,ADEMPASTRAEXINH,1113.1696591458262,M pkm,Aggregated DemandPassengerTransportationExternal INNon Home based
TO,2032,ADEMPASTRAEXONH,1101.6777691409316,M pkm,Aggregated DemandPassengerTransportationExternal OUTNon Home based
TO,2033,ADEMPASTRAINHW,6883.468042186107,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome Work
TO,2033,ADEMPASTRAEXIHW,3180.751726553003,M pkm,Aggregated DemandPassengerTransportationExternal INHome Work
TO,2033,ADEMPASTRAEXOHW,3147.9149988591535,M pkm,Aggregated DemandPassengerTransportationExternal OUTHome Work
TO,2033,ADEMPASTRAINHS,2722.6373490697565,M pkm,Aggregated DemandPassengerTransportationIn BoundaryHome School
TO,2033,ADEMPASTRAEXIHS,747.387851344316,M pkm,Aggregated DemandPassengerTransportationExternal INHome School
