periods,group_name,min_act_g,tech_desc
2023,BAP-ENE-2-FRETRA,23245.12423,
2023,BAP-ENE-2-PASTRA,67015.23795,
2023,BAP-ENE-2-PUBTRA,1403.805733,
2023,BAP-ENE-2-COMBDG,105549.6208,
2023,BAP-ENE-2-INDBDG,20996.061,
2023,BAP-ENE-2-PUBBDG,17366.06243,
2023,BAP-ENE-2-RESBDG,97857.56765,
2024,BAP-ENE-2-FRETRA,22021.69664,
2024,BAP-ENE-2-PASTRA,63488.12016,
2024,BAP-ENE-2-PUBTRA,1329.921221,
2024,BAP-ENE-2-COMBDG,99994.37763,
2024,BAP-ENE-2-INDBDG,19891.00516,
2024,BAP-ENE-2-PUBBDG,16452.05914,
2024,BAP-ENE-2-RESBDG,92707.16935,
2025,BAP-ENE-2-FRETRA,20798.26905,
2025,BAP-ENE-2-PASTRA,59961.00238,
2025,BAP-ENE-2-PUBTRA,1256.036708,
2025,BAP-ENE-2-COMBDG,94439.13443,
2025,BAP-ENE-2-INDBDG,18785.94932,
2025,BAP-ENE-2-PUBBDG,15538.05586,
2025,BAP-ENE-2-RESBDG,87556.77105,
2026,BAP-ENE-2-FRETRA,19574.84145,
2026,BAP-ENE-2-PASTRA,56433.88459,
2026,BAP-ENE-2-PUBTRA,1182.152196,
2026,BAP-ENE-2-COMBDG,88883.89123,
2026,BAP-ENE-2-INDBDG,17680.89347,
2026,BAP-ENE-2-PUBBDG,14624.05257,
2026,BAP-ENE-2-RESBDG,82406.37276,
2027,BAP-ENE-2-FRETRA,18351.41386,
2027,BAP-ENE-2-PASTRA,52906.7668,
2027,BAP-ENE-2-PUBTRA,1108.267684,
2027,BAP-ENE-2-COMBDG,83328.64803,
2027,BAP-ENE-2-INDBDG,16575.83763,
2027,BAP-ENE-2-PUBBDG,13710.04929,
2027,BAP-ENE-2-RESBDG,77255.97446,
2028,BAP-ENE-2-FRETRA,17127.98627,
2028,BAP-ENE-2-PASTRA,49379.64902,
2028,BAP-ENE-2-PUBTRA,1034.383172,
2028,BAP-ENE-2-COMBDG,77773.40482,
2028,BAP-ENE-2-INDBDG,15470.78179,
2028,BAP-ENE-2-PUBBDG,12796.046,
2028,BAP-ENE-2-RESBDG,72105.57616,
2029,BAP-ENE-2-FRETRA,15904.55868,
2029,BAP-ENE-2-PASTRA,45852.53123,
2029,BAP-ENE-2-PUBTRA,960.4986594,
2029,BAP-ENE-2-COMBDG,72218.16162,
2029,BAP-ENE-2-INDBDG,14365.72595,
2029,BAP-ENE-2-PUBBDG,11882.04271,
2029,BAP-ENE-2-RESBDG,66955.17786,
2030,BAP-ENE-2-FRETRA,14681.13109,
2030,BAP-ENE-2-PASTRA,42325.41344,
2030,BAP-ENE-2-PUBTRA,886.6141472,
2030,BAP-ENE-2-COMBDG,66662.91842,
2030,BAP-ENE-2-INDBDG,13260.67011,
2030,BAP-ENE-2-PUBBDG,10968.03943,
2030,BAP-ENE-2-RESBDG,61804.77957,
2031,BAP-ENE-2-FRETRA,13457.7035,
2031,BAP-ENE-2-PASTRA,38798.29565,
2031,BAP-ENE-2-PUBTRA,812.7296349,
2031,BAP-ENE-2-COMBDG,61107.67522,
2031,BAP-ENE-2-INDBDG,12155.61426,
2031,BAP-ENE-2-PUBBDG,10054.03614,
2031,BAP-ENE-2-RESBDG,56654.38127,
2032,BAP-ENE-2-FRETRA,12234.27591,
2032,BAP-ENE-2-PASTRA,35271.17787,
2032,BAP-ENE-2-PUBTRA,738.8451226,
2032,BAP-ENE-2-COMBDG,55552.43202,
2032,BAP-ENE-2-INDBDG,11050.55842,
2032,BAP-ENE-2-PUBBDG,9140.032857,
2032,BAP-ENE-2-RESBDG,51503.98297,
2033,BAP-ENE-2-FRETRA,11010.84832,
2033,BAP-ENE-2-PASTRA,31744.06008,
2033,BAP-ENE-2-PUBTRA,664.9606104,
2033,BAP-ENE-2-COMBDG,49997.18882,
2033,BAP-ENE-2-INDBDG,9945.502579,
2033,BAP-ENE-2-PUBBDG,8226.029572,
2033,BAP-ENE-2-RESBDG,46353.58467,
2034,BAP-ENE-2-FRETRA,9787.420727,
2034,BAP-ENE-2-PASTRA,28216.94229,
2034,BAP-ENE-2-PUBTRA,591.0760981,
2034,BAP-ENE-2-COMBDG,44441.94561,
2034,BAP-ENE-2-INDBDG,8840.446737,
2034,BAP-ENE-2-PUBBDG,7312.026286,
2034,BAP-ENE-2-RESBDG,41203.18638,
2035,BAP-ENE-2-FRETRA,8563.993136,
2035,BAP-ENE-2-PASTRA,24689.82451,
2035,BAP-ENE-2-PUBTRA,517.1915858,
2035,BAP-ENE-2-COMBDG,38886.70241,
2035,BAP-ENE-2-INDBDG,7735.390895,
2035,BAP-ENE-2-PUBBDG,6398.023,
2035,BAP-ENE-2-RESBDG,36052.78808,
2036,BAP-ENE-2-FRETRA,7340.565545,
2036,BAP-ENE-2-PASTRA,21162.70672,
2036,BAP-ENE-2-PUBTRA,443.3070736,
2036,BAP-ENE-2-COMBDG,33331.45921,
2036,BAP-ENE-2-INDBDG,6630.335053,
2036,BAP-ENE-2-PUBBDG,5484.019714,
2036,BAP-ENE-2-RESBDG,30902.38978,
2037,BAP-ENE-2-FRETRA,6117.137955,
2037,BAP-ENE-2-PASTRA,17635.58893,
2037,BAP-ENE-2-PUBTRA,369.4225613,
2037,BAP-ENE-2-COMBDG,27776.21601,
2037,BAP-ENE-2-INDBDG,5525.279211,
2037,BAP-ENE-2-PUBBDG,4570.016429,
2037,BAP-ENE-2-RESBDG,25751.99149,
2038,BAP-ENE-2-FRETRA,4893.710364,
2038,BAP-ENE-2-PASTRA,14108.47115,
2038,BAP-ENE-2-PUBTRA,295.5380491,
2038,BAP-ENE-2-COMBDG,22220.97281,
2038,BAP-ENE-2-INDBDG,4420.223368,
2038,BAP-ENE-2-PUBBDG,3656.013143,
2038,BAP-ENE-2-RESBDG,20601.59319,
2039,BAP-ENE-2-FRETRA,3670.282773,
2039,BAP-ENE-2-PASTRA,10581.35336,
2039,BAP-ENE-2-PUBTRA,221.6535368,
2039,BAP-ENE-2-COMBDG,16665.72961,
2039,BAP-ENE-2-INDBDG,3315.167526,
2039,BAP-ENE-2-PUBBDG,2742.009857,
2039,BAP-ENE-2-RESBDG,15451.19489,
2040,BAP-ENE-2-FRETRA,2446.855182,
2040,BAP-ENE-2-PASTRA,7054.235574,
2040,BAP-ENE-2-PUBTRA,147.7690245,
2040,BAP-ENE-2-COMBDG,11110.4864,
2040,BAP-ENE-2-INDBDG,2210.111684,
2040,BAP-ENE-2-PUBBDG,1828.006571,
2040,BAP-ENE-2-RESBDG,10300.79659,
2041,BAP-ENE-2-FRETRA,1223.427591,
2041,BAP-ENE-2-PASTRA,3527.117787,
2041,BAP-ENE-2-PUBTRA,73.88451226,
2041,BAP-ENE-2-COMBDG,5555.243202,
2041,BAP-ENE-2-INDBDG,1105.055842,
2041,BAP-ENE-2-PUBBDG,914.0032857,
2041,BAP-ENE-2-RESBDG,5150.398297,
2042,BAP-ENE-2-FRETRA,-7.81E-12,
2042,BAP-ENE-2-PASTRA,-2.25E-11,
2042,BAP-ENE-2-PUBTRA,-4.72E-13,
2042,BAP-ENE-2-COMBDG,-3.55E-11,
2042,BAP-ENE-2-INDBDG,-7.05E-12,
2042,BAP-ENE-2-PUBBDG,-5.83E-12,
2042,BAP-ENE-2-RESBDG,-3.29E-11,
2043,BAP-ENE-2-FRETRA,0,
2043,BAP-ENE-2-PASTRA,0,
2043,BAP-ENE-2-PUBTRA,0,
2043,BAP-ENE-2-COMBDG,0,
2043,BAP-ENE-2-INDBDG,0,
2043,BAP-ENE-2-PUBBDG,0,
2043,BAP-ENE-2-RESBDG,0,
2044,BAP-ENE-2-FRETRA,0,
2044,BAP-ENE-2-PASTRA,0,
2044,BAP-ENE-2-PUBTRA,0,
2044,BAP-ENE-2-COMBDG,0,
2044,BAP-ENE-2-INDBDG,0,
2044,BAP-ENE-2-PUBBDG,0,
2044,BAP-ENE-2-RESBDG,0,
2045,BAP-ENE-2-FRETRA,0,
2045,BAP-ENE-2-PASTRA,0,
2045,BAP-ENE-2-PUBTRA,0,
2045,BAP-ENE-2-COMBDG,0,
2045,BAP-ENE-2-INDBDG,0,
2045,BAP-ENE-2-PUBBDG,0,
2045,BAP-ENE-2-RESBDG,0,
2046,BAP-ENE-2-FRETRA,0,
2046,BAP-ENE-2-PASTRA,0,
2046,BAP-ENE-2-PUBTRA,0,
2046,BAP-ENE-2-COMBDG,0,
2046,BAP-ENE-2-INDBDG,0,
2046,BAP-ENE-2-PUBBDG,0,
2046,BAP-ENE-2-RESBDG,0,
2047,BAP-ENE-2-FRETRA,0,
2047,BAP-ENE-2-PASTRA,0,
2047,BAP-ENE-2-PUBTRA,0,
2047,BAP-ENE-2-COMBDG,0,
2047,BAP-ENE-2-INDBDG,0,
2047,BAP-ENE-2-PUBBDG,0,
2047,BAP-ENE-2-RESBDG,0,
2048,BAP-ENE-2-FRETRA,0,
2048,BAP-ENE-2-PASTRA,0,
2048,BAP-ENE-2-PUBTRA,0,
2048,BAP-ENE-2-COMBDG,0,
2048,BAP-ENE-2-INDBDG,0,
2048,BAP-ENE-2-PUBBDG,0,
2048,BAP-ENE-2-RESBDG,0,
2049,BAP-ENE-2-FRETRA,0,
2049,BAP-ENE-2-PASTRA,0,
2049,BAP-ENE-2-PUBTRA,0,
2049,BAP-ENE-2-COMBDG,0,
2049,BAP-ENE-2-INDBDG,0,
2049,BAP-ENE-2-PUBBDG,0,
2049,BAP-ENE-2-RESBDG,0,
2050,BAP-ENE-2-FRETRA,0,
2050,BAP-ENE-2-PASTRA,0,
2050,BAP-ENE-2-PUBTRA,0,
2050,BAP-ENE-2-COMBDG,0,
2050,BAP-ENE-2-INDBDG,0,
2050,BAP-ENE-2-PUBBDG,0,
2050,BAP-ENE-2-RESBDG,0,
